record_type	contrast	confound	qc	smoothing	n_subjects	df	fdr_rejected_voxels	fdr_rejected_proportion	fdr_positive_voxels	fdr_negative_voxels	fdr_any_rejection	cell_a	cell_b	differing_axes	n_differing_axes	pearson_r	pearson_r_ci_lower	pearson_r_ci_upper	cosine_similarity	cosine_similarity_ci_lower	cosine_similarity_ci_upper	normalized_rms_difference	normalized_rms_difference_ci_lower	normalized_rms_difference_ci_upper	sign_agreement	fdr_jaccard	bootstrap_replicates	bootstrap_seed	notes
cell_bh_fdr_summary	gain_demean	C0	Q0_all	S0	108.0	106.0	18.0	8.140523526112991e-05	6.0	12.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C0	Q1_lenient	S0	106.0	104.0	22.0	9.9495287541381e-05	8.0	14.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C0	Q2_strict	S0	103.0	101.0	24.0	0.00010854031368150654	10.0	14.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C0	Q0_all	S1	108.0	106.0	9128.0	0.04128149930353299	3262.0	5866.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C0	Q1_lenient	S1	106.0	104.0	9844.0	0.04451961866169793	4043.0	5801.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C0	Q2_strict	S1	103.0	101.0	12358.0	0.05588921651983574	3769.0	8589.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C0	Q0_all	S2	108.0	106.0	20005.0	0.09047287396660576	5458.0	14547.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C0	Q1_lenient	S2	106.0	104.0	20719.0	0.09370194829863059	6834.0	13885.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C0	Q2_strict	S2	103.0	101.0	25995.0	0.11756272725628177	6090.0	19905.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C1	Q0_all	S0	108.0	106.0	20.0	9.045026140125545e-05	6.0	14.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C1	Q1_lenient	S0	106.0	104.0	14.0	6.331518298087882e-05	8.0	6.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C1	Q2_strict	S0	103.0	101.0	19.0	8.592774833119267e-05	7.0	12.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C1	Q0_all	S1	108.0	106.0	8934.0	0.04040413176794081	3431.0	5503.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C1	Q1_lenient	S1	106.0	104.0	9811.0	0.04437037573038586	4747.0	5064.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C1	Q2_strict	S1	103.0	101.0	10998.0	0.049738598744550375	4457.0	6541.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C1	Q0_all	S2	108.0	106.0	19238.0	0.08700410644186762	6029.0	13209.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C1	Q1_lenient	S2	106.0	104.0	20396.0	0.0922411765770003	8626.0	11770.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C1	Q2_strict	S2	103.0	101.0	22441.0	0.10148971580527867	7708.0	14733.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C2	Q0_all	S0	108.0	106.0	32.0	0.00014472041824200872	8.0	24.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C2	Q1_lenient	S0	106.0	104.0	43.0	0.00019446806201269922	15.0	28.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
cell_bh_fdr_summary	gain_demean	C2	Q2_strict	S0	103.0	101.0	56.0	0.0002532607319235153	22.0	34.0	True																		BH-FDR q<=0.05 is secondary; threshold is not a factor
