subject	confound	smoothing	contrast	n_voxels	variance_min	variance_lt_1e_20_count	variance_lt_1e_30_count	variance_finite_count	variance_positive_count	variance_nonfinite_count	variance_nonpositive_count	variance_all_finite	variance_all_positive	sidecar_available	float64_temporal_mean_lt1_diagnostic_available	float64_temporal_mean_lt1_run_count_available	float64_temporal_mean_lt1_voxel_run_sum	float64_temporal_mean_lt1_min_per_run	float64_temporal_mean_lt1_max_per_run	float64_temporal_mean_lt1_runs_nonzero
sub-001	C0	S0	gain_demean	221116	2.1963891413179226e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C0	S0	loss_demean	221116	8.9767330791801214e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C0	S1	gain_demean	221116	2.1433424990391359e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C0	S1	loss_demean	221116	8.8246906670974568e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C0	S2	gain_demean	221116	1.2517526783994981e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C0	S2	loss_demean	221116	5.019296622776892e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C1	S0	gain_demean	221116	2.2990558136370964e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C1	S0	loss_demean	221116	9.3190334155224264e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C1	S1	gain_demean	221116	2.1722744349972345e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C1	S1	loss_demean	221116	8.7812532001407817e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C1	S2	gain_demean	221116	1.240458118445531e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C1	S2	loss_demean	221116	4.9583136387809645e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C2	S0	gain_demean	221116	2.2189591618371196e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C2	S0	loss_demean	221116	9.1335554316174239e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C2	S1	gain_demean	221116	2.0256559309927979e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C2	S1	loss_demean	221116	8.3116110545233823e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C2	S2	gain_demean	221116	9.802510021472699e-07	0	0	221116	221116	0	0	True	True	True	False					
sub-001	C2	S2	loss_demean	221116	3.9878468669485301e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C0	S0	gain_demean	221116	9.3944043328519911e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C0	S0	loss_demean	221116	9.1924230218864977e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C0	S1	gain_demean	221116	1.3718145964958239e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C0	S1	loss_demean	221116	1.3562975254899357e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C0	S2	gain_demean	221116	9.4292627181857824e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C0	S2	loss_demean	221116	9.355086149298586e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C1	S0	gain_demean	221116	9.1917863755952567e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C1	S0	loss_demean	221116	8.9240493252873421e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C1	S1	gain_demean	221116	1.2573910680657718e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C1	S1	loss_demean	221116	1.2304715710342862e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C1	S2	gain_demean	221116	8.6185355030465871e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C1	S2	loss_demean	221116	8.4366402006708086e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C2	S0	gain_demean	221116	9.2130685516167432e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C2	S0	loss_demean	221116	8.646243077237159e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C2	S1	gain_demean	221116	1.0859763278858736e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C2	S1	loss_demean	221116	1.0321256922907196e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C2	S2	gain_demean	221116	6.3557649809808936e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-002	C2	S2	loss_demean	221116	5.9898106883338187e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C0	S0	gain_demean	221116	1.7788514014682733e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C0	S0	loss_demean	221116	6.9987610913813114e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C0	S1	gain_demean	221116	2.8108934202464297e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C0	S1	loss_demean	221116	1.103403337765485e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C0	S2	gain_demean	221116	1.8619076627146569e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C0	S2	loss_demean	221116	7.4949143709091004e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C1	S0	gain_demean	221116	1.7909678717842326e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C1	S0	loss_demean	221116	6.9899484515190125e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C1	S1	gain_demean	221116	2.8774102247552946e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C1	S1	loss_demean	221116	1.1144866221002303e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C1	S2	gain_demean	221116	1.831347617553547e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C1	S2	loss_demean	221116	7.179565272963373e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C2	S0	gain_demean	221116	1.7057085642591119e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C2	S0	loss_demean	221116	6.8759851274080575e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C2	S1	gain_demean	221116	2.6939362669509137e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C2	S1	loss_demean	221116	1.0906212082772981e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C2	S2	gain_demean	221116	1.3458377452479908e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-003	C2	S2	loss_demean	221116	5.4109700613480527e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-004	C0	S0	gain_demean	221116	4.8675987268680303e-30	1	0	221116	221116	0	0	True	True	True	True	4	1	0	1	1
sub-004	C0	S0	loss_demean	221116	5.1957388212560044e-30	1	0	221116	221116	0	0	True	True	True	True	4	1	0	1	1
sub-004	C0	S1	gain_demean	221116	1.1237686521781143e-05	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C0	S1	loss_demean	221116	1.1744482435460668e-05	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C0	S2	gain_demean	221116	7.107064902811544e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C0	S2	loss_demean	221116	7.4866998147626873e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C1	S0	gain_demean	221116	8.8264033989684485e-31	1	1	221116	221116	0	0	True	True	True	True	4	1	0	1	1
sub-004	C1	S0	loss_demean	221116	9.4068004433027707e-31	1	1	221116	221116	0	0	True	True	True	True	4	1	0	1	1
sub-004	C1	S1	gain_demean	221116	1.2025846444885246e-05	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C1	S1	loss_demean	221116	1.265605169464834e-05	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C1	S2	gain_demean	221116	6.7633332037075888e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C1	S2	loss_demean	221116	7.1108652264229022e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C2	S0	gain_demean	221116	3.5911940164796295e-31	1	1	221116	221116	0	0	True	True	True	True	4	1	0	1	1
sub-004	C2	S0	loss_demean	221116	3.865576732354217e-31	1	1	221116	221116	0	0	True	True	True	True	4	1	0	1	1
sub-004	C2	S1	gain_demean	221116	1.1478637134132441e-05	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C2	S1	loss_demean	221116	1.2010254977212753e-05	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C2	S2	gain_demean	221116	6.0708357523253653e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C2	S2	loss_demean	221116	6.4445430325577036e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
