contrast	scope	n_subjects	df	q	s0_rejected	s8_rejected	fdr_jaccard	matched_k	top_abs_t_jaccard	continuous_pearson_r	threshold_crossing_disconnect	broad_spatial_relocation
gain_demean	full	108	106	0.05	20	19238	0.0009875773169083632	20	0.08108108108108109	0.440967449956665	False	True
gain_demean	EI	54	53	0.05	47	50060	0.0008788925953298844	47	0.03296703296703297	0.5286156801087794	False	True
gain_demean	ER	54	53	0.05	1	34710	2.881014116969173e-05	1	0.0	0.48773815498270773	False	True
gain_demean	split_A	54	52	0.05	0	405	0.0	0	nan	0.37367057412947235	False	False
gain_demean	split_B	54	52	0.05	1	4272	0.0	1	0.0	0.39954520164862295	False	True
loss_demean	full	108	106	0.05	21	20029	0.000998502246630055	21	0.07692307692307693	0.4023931437233257	False	True
loss_demean	EI	54	53	0.05	0	32307	0.0	0	nan	0.44021125359673674	False	False
loss_demean	ER	54	53	0.05	0	990	0.0	0	nan	0.366059716048085	False	False
loss_demean	split_A	54	52	0.05	0	584	0.0	0	nan	0.35180653639480464	False	False
loss_demean	split_B	54	52	0.05	0	2428	0.0	0	nan	0.3908431649083575	False	False
