participant_id	group	run	n_volumes	defined_fd_frames	mean_fd_mm	proportion_fd_gt_0_5	mean_std_dvars_diagnostic	mask_voxels	C0_columns	C0_rank	C0_gain_demean_estimable	C0_gain_demean_projection_error	C0_loss_demean_estimable	C0_loss_demean_projection_error	C1_columns	C1_rank	C1_gain_demean_estimable	C1_gain_demean_projection_error	C1_loss_demean_estimable	C1_loss_demean_projection_error	C2_columns	C2_rank	C2_gain_demean_estimable	C2_gain_demean_projection_error	C2_loss_demean_estimable	C2_loss_demean_projection_error
sub-001	equalIndifference	1	453	452	0.07904649902418094	0.0	1.016638110619469	270071	18	18	True	6.972069758880738e-16	True	4.846535922197966e-16	36	36	True	2.364398791689976e-16	True	4.127525147512946e-16	42	42	True	2.6763118458391286e-16	True	7.165335850051467e-16
sub-001	equalIndifference	2	453	452	0.07868114505707477	0.0	0.9951386570796461	270415	17	17	True	9.010505675564548e-16	True	9.684004051448485e-16	35	35	True	5.579723447951914e-16	True	6.275673464503512e-16	41	41	True	1.008944813514756e-15	True	8.031725746154175e-16
sub-001	equalIndifference	3	453	452	0.07174279121787153	0.0	1.0129584623893806	265467	17	17	True	7.550343035919058e-16	True	1.305740760874672e-15	35	35	True	3.4638358771992324e-16	True	4.918500382088747e-16	41	41	True	9.513982596397124e-16	True	4.1759234358274213e-16
sub-001	equalIndifference	4	453	452	0.07159532363163713	0.0	1.0134553141592921	271176	17	17	True	1.067006550457624e-15	True	6.27689139165468e-16	35	35	True	8.256909188864986e-16	True	4.148969089703153e-16	41	41	True	1.2578818399331144e-15	True	7.771992335288407e-16
sub-002	equalRange	1	453	452	0.096030153859292	0.0022123893805309734	1.0191246703539825	252476	17	17	True	1.1734785287483765e-15	True	7.000876063336597e-16	35	35	True	1.1392495952156756e-15	True	1.3357181977035956e-15	41	41	True	9.415138912829747e-16	True	7.516416756888606e-16
sub-002	equalRange	2	453	452	0.07203167823008848	0.0022123893805309734	1.018958232300885	251162	17	17	True	4.953740634596959e-16	True	3.7825382530774434e-16	35	35	True	7.221344340593234e-16	True	9.567434923302478e-16	41	41	True	1.3290850129023305e-15	True	7.957786518758352e-16
sub-002	equalRange	3	453	452	0.09205678970946898	0.004424778761061947	1.0282362765486726	254740	17	17	True	5.252643419629931e-16	True	8.98705047510733e-16	35	35	True	7.310628635256741e-16	True	5.732013185747493e-16	41	41	True	7.659935690266631e-16	True	8.780472431581414e-16
sub-002	equalRange	4	453	452	0.09967989211902652	0.01327433628318584	1.0242199225663717	244570	17	17	True	1.5105775873677652e-15	True	1.935476699323853e-15	35	35	True	7.375737362494301e-16	True	6.000218093575108e-16	41	41	True	7.307993225210751e-16	True	4.0842772988543326e-16
sub-003	equalIndifference	1	453	452	0.0637313659749303	0.0	1.0232629999999998	256406	18	18	True	3.9848480878800223e-16	True	8.993171122882994e-16	36	36	True	1.893523600366799e-15	True	6.814332875958781e-16	42	42	True	9.3944696386035e-16	True	7.516728278623874e-16
sub-003	equalIndifference	2	453	452	0.08449825237146004	0.0022123893805309734	1.0468746128318585	254410	18	18	True	9.47201128499146e-16	True	9.307055595371575e-16	36	36	True	1.0321529107080945e-15	True	2.458389131647964e-15	42	42	True	1.0740532766446562e-15	True	7.883652310745578e-16
sub-003	equalIndifference	3	453	452	0.053657792763274315	0.0	1.0347972101769911	244979	17	17	True	2.3739685902350394e-16	True	4.858647735623723e-16	35	35	True	9.784365903304982e-16	True	2.9332407540402538e-16	41	41	True	6.91022322532823e-16	True	6.842320232503302e-16
sub-003	equalIndifference	4	453	452	0.07296934075965485	0.004424778761061947	1.0401735088495574	243091	18	18	True	6.838422873043013e-16	True	5.132300154377222e-16	36	36	True	4.165071598391983e-16	True	1.81490671606677e-16	42	42	True	2.63147452373951e-16	True	2.7591918208790267e-16
sub-004	equalRange	1	453	452	0.0928646092361989	0.0022123893805309734	0.971289232300885	253937	18	18	True	2.379782039339003e-15	True	7.578558841856546e-16	36	36	True	2.305113365466987e-15	True	1.160147577508291e-15	42	42	True	1.6567889611536077e-15	True	7.73392993100165e-16
sub-004	equalRange	2	453	452	0.0924095672446867	0.004424778761061947	1.0052753318584071	254084	17	17	True	5.542709392677726e-16	True	1.2212188289841447e-15	35	35	True	1.2491421114533743e-15	True	1.4221663896713787e-15	41	41	True	9.26868394690432e-16	True	6.9516177277517945e-16
sub-004	equalRange	3	453	452	0.10744675769474178	0.011061946902654867	1.006146789823009	252441	18	18	True	1.0112475722544355e-15	True	6.955170465886236e-16	36	36	True	1.3944417808064437e-15	True	2.136852564270511e-15	42	42	True	9.435606949055814e-16	True	6.194261044677578e-16
sub-004	equalRange	4	453	452	0.117181926248754	0.00663716814159292	1.0125306504424778	253591	17	17	True	5.810225678006819e-16	True	1.8858307407029909e-16	35	35	True	1.030748371517315e-15	True	6.858899538244963e-16	41	41	True	1.0413346884669826e-15	True	9.08388456574113e-16
sub-005	equalIndifference	1	453	452	0.07838004256637165	0.0	1.0453424092920354	254094	17	17	True	3.381091142016947e-16	True	3.780028921883661e-16	35	35	True	5.365891247988917e-16	True	9.436144933792446e-16	41	41	True	5.530563596082142e-16	True	6.950639349535368e-16
sub-005	equalIndifference	2	453	452	0.04430734968184236	0.0	1.0360735530973453	253196	17	17	True	4.796717053273077e-16	True	4.696050646832988e-16	35	35	True	5.573637889495788e-16	True	3.8480611119460036e-16	41	41	True	1.1985998387880925e-15	True	9.064411859449863e-16
sub-005	equalIndifference	3	453	452	0.048135202907743334	0.0	1.0383161061946904	254184	17	17	True	7.953161835049439e-16	True	1.831931601403786e-15	35	35	True	7.119296427524276e-16	True	9.666953678639169e-16	41	41	True	1.1606949610556565e-15	True	1.4278646053694437e-15
sub-005	equalIndifference	4	453	452	0.08499859720343245	0.0	1.0387323384955753	259929	17	17	True	4.415532235896291e-16	True	4.494300372391389e-16	35	35	True	5.010957939895319e-16	True	7.06630134866247e-16	41	41	True	4.794405686713965e-16	True	9.189888876675187e-16
sub-006	equalRange	1	453	452	0.09095564972026123	0.0	1.0203284358407079	172480	17	17	True	1.0541779184402012e-15	True	7.342008087952277e-16	35	35	True	6.485311492167139e-16	True	4.1561612700479276e-16	41	41	True	9.587408568055191e-16	True	8.5043709189058e-16
sub-006	equalRange	2	453	452	0.06324875667752732	0.0	1.0073214690265486	269003	17	17	True	9.419487644722038e-16	True	4.629828507309347e-16	35	35	True	8.44363956621214e-16	True	1.192680450891478e-15	41	41	True	7.651972457165845e-16	True	1.3627906171780194e-15
sub-006	equalRange	3	453	452	0.07176981988847234	0.0	0.9953303340707965	267792	17	17	True	7.503144501015543e-16	True	1.0261668428984442e-15	35	35	True	8.083644222081317e-16	True	3.5248639134193e-16	41	41	True	8.155499050835566e-16	True	9.02710259923503e-16
sub-006	equalRange	4	453	452	0.12157056957128547	0.0	0.9760094867256638	267082	16	16	True	1.1461523084965302e-15	True	1.0105811387266814e-15	34	34	True	7.108751369287547e-16	True	5.451172448728011e-16	40	40	True	7.338772017538301e-16	True	9.563809399187333e-16
sub-008	equalRange	1	453	452	0.18319003941335793	0.015486725663716814	1.0291363008849557	253458	17	17	True	6.860850144960805e-16	True	4.84063517937451e-16	35	35	True	8.2751492425131e-16	True	8.119329617284212e-16	41	41	True	1.0090101396066225e-15	True	5.88217302594549e-16
sub-008	equalRange	2	453	452	0.18809610516634095	0.028761061946902654	1.037766657079646	261979	17	17	True	5.484727180559719e-16	True	3.140449909116657e-16	35	35	True	1.4305072470097099e-15	True	1.3049825450358408e-15	41	41	True	1.424521300980282e-15	True	9.450577937346318e-16
sub-008	equalRange	3	453	452	0.18185516364738807	0.015486725663716814	1.0360198738938053	252805	17	17	True	8.794925660894159e-16	True	4.87810775994302e-16	35	35	True	8.785989490612522e-16	True	3.3722558221029893e-16	41	41	True	1.689566131180781e-15	True	1.2758736175681506e-15
sub-008	equalRange	4	453	452	0.1555285363544736	0.008849557522123894	1.0310274380530973	261593	17	17	True	5.301988535598783e-16	True	9.438572179501191e-16	35	35	True	8.677045627029759e-16	True	1.5271831589805057e-15	41	41	True	1.5723680898004216e-15	True	5.012338253317491e-16
sub-009	equalIndifference	1	453	452	0.07162764530215457	0.0	1.005521471238938	247306	18	18	True	5.225656696488761e-16	True	1.370783323157512e-15	36	36	True	2.357684601377725e-16	True	5.228947551710119e-16	42	42	True	6.36497029252052e-16	True	2.5755375070483575e-15
sub-009	equalIndifference	2	453	452	0.07967823397614866	0.0	1.0106205508849557	247360	17	17	True	1.2015426888638422e-15	True	1.4575943331034438e-15	35	35	True	1.6278658754966017e-15	True	4.506729423363241e-16	41	41	True	1.1417362833100852e-15	True	8.554960367845569e-16
