stable_cell_id,authenticated_independent_animal_id,source_region,ccf_soma_x,ccf_soma_y,ccf_soma_z,eligible_under_frozen_metadata_rule,exclusion_reason,role
c001,d01,SYN_SOURCE,100,200,300,true,,development
c002,d02,SYN_SOURCE,101,201,301,true,,development
c003,d03,SYN_SOURCE,102,202,302,true,,development
c004,d04,SYN_SOURCE,103,203,303,true,,development
c005,d05,SYN_SOURCE,104,204,304,true,,development
c006,d06,SYN_SOURCE,105,205,305,true,,development
c007,d07,SYN_SOURCE,106,206,306,true,,development
c008,d08,SYN_SOURCE,107,207,307,true,,development
c009,d09,SYN_SOURCE,108,208,308,true,,development
c010,d10,SYN_SOURCE,109,209,309,true,,development
c011,d11,SYN_SOURCE,110,210,310,true,,development
c012,d12,SYN_SOURCE,111,211,311,true,,development
c013,a01,SYN_SOURCE,100.5,200.5,300.5,true,,audit_sealed
c014,a02,SYN_SOURCE,101.5,201.5,301.5,true,,audit_sealed
c015,a03,SYN_SOURCE,102.5,202.5,302.5,true,,audit_sealed
c016,a04,SYN_SOURCE,103.5,203.5,303.5,true,,audit_sealed
c017,a05,SYN_SOURCE,104.5,204.5,304.5,true,,audit_sealed
c018,a06,SYN_SOURCE,105.5,205.5,305.5,true,,audit_sealed
c019,a07,SYN_SOURCE,106.5,206.5,306.5,true,,audit_sealed
c020,a08,SYN_SOURCE,107.5,207.5,307.5,true,,audit_sealed
